"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1662477528865595393","Sun May 28 01:30:09 +0000 2023","0","@tanyarlfes lah itu udah dksh ovo ma gopay... uang digital ini. brp sih dptnya? klo masing2 cuman 100k ya wajar pean boleh protes ke suami nderr...","1662632316261531652","","tanyarlfes","in","Wind City","0","0","0","https://x.com/careluky/status/1662632316261531652","68939797","careluky"
"1662477528865595393","Sat May 27 22:41:17 +0000 2023","0","@tanyarlfes Buat yang sudah marah2x mohon di lingat ya sender diatas kurang detail. 1. Uang operasional seperti makan air minum gas dan sampah itu suaminya sendiri yang bayar atau diatur istri? 2. Ovo dan gopay itukan uang juga? Uang digital. 3. Belanja baju ama snack masih ada.","1662589820957528064","","tanyarlfes","in","","0","1","0","https://x.com/Ruwung/status/1662589820957528064","247165013","Ruwung"
"1662477528865595393","Sat May 27 22:33:16 +0000 2023","0","@hehe_ajadulu @poerbaa_ @tanyarlfes Ovo ama Gopay uang digital? Uang juga gak sih?","1662587803342082050","","hehe_ajadulu","in","","0","1","0","https://x.com/Ruwung/status/1662587803342082050","247165013","Ruwung"
"1662477528865595393","Sat May 27 22:32:25 +0000 2023","30","@selowbeud @ohcumanspeak @MaulanaTeten @tanyarlfes Kan Ovo Gopay Baju Snack kurang apa lagi? Oh iya OVO dan Gopay kan uang digital bukan? Arti nya uang juga?","1662587590325981184","","selowbeud","in","","1","2","0","https://x.com/Ruwung/status/1662587590325981184","247165013","Ruwung"
"1662371389398212608","Sat May 27 08:41:27 +0000 2023","1","@paw_jhope @sosmedkeras Bukan COD solusinya. Kalau COD driver hrs bolak balik untuk antar uangnya. Hrs nya wajib pakai uang digital gopay/ovo/shopeepay shg driver tdk perlu byr ke merchantnya.","1662378468930363392","","hiillang","in","","0","0","1","https://x.com/oxdewawin/status/1662378468930363392","1580125725364928513","oxdewawin"
"1662093424831664129","Fri May 26 13:48:47 +0000 2023","8","STREAMING KLO MAU MENANG TITIK PUNYA UANG RECEH UANG LEBIH DI ATM GOPAY SHOOPEPAY KIRIM DONASI DIGITAL TITIK SEMANGAT GUSY!!! STREAMING TERUS!!!","1662093424831664129","","","in","","0","0","5","https://x.com/soodam_days/status/1662093424831664129","1316206309197246467","soodam_days"
"1660804806951440384","Tue May 23 02:18:36 +0000 2023","0","@MartinusTito Ditunggu oleh-oleh nya bang. Dijadikan dalam bentuk uang digital juga boleh. Ada Dana Gopay dan Shopay. ","1660832571733753857","","martyyyto","in","Indonesia","0","1","0","https://x.com/RizkyAl37804854/status/1660832571733753857","1419019051301437441","RizkyAl37804854"
"1655597573548175365","Mon May 08 18:46:05 +0000 2023","0","@abaymg @SeaBankID Jika tidak butuh uang cash tapi butuh pembayaran menggunakan dompet digital contoh dana ovo gopay spay dll itu bisa langsung ditransfer melalui seabank dan biayanya gratiss ","1655645263640563713","","couoUmild","in","Indonesia","0","1","0","https://x.com/couoUmild/status/1655645263640563713","525456540","couoUmild"
"1652986623435640832","Mon May 01 10:41:36 +0000 2023","0","Kenapa sih Alfamart kebanyakan malas kali transaksi uang digital. Seperti DANA Gopay ShopeePay dll. Alasan nya sama semua lagi gak konek lah lagi pertukaran shift lah lagi gangguan jaringan lah. @alfamart","1652986623435640832","","","in","Email: official.ucok@gmail.com","0","0","0","https://x.com/UcokGalaw/status/1652986623435640832","237273465","UcokGalaw"
"1649612746156285954","Sat Apr 22 03:52:55 +0000 2023","0","@tanyakanrl Rp.0 kalo ad yg berbaik hati saya nerima uang digital berupa gopay dana spay ovo dan lain yah kak ","1649622282095190016","","tanyakanrl","in","","0","0","0","https://x.com/LovelySiaaaa/status/1649622282095190016","952476409825382400","LovelySiaaaa"
"1646061386651541504","Wed Apr 12 08:12:16 +0000 2023","0","Dia blg dia ud gk ada saldo buat transfer. Hello bu first thing first dalam belanja online pastikan saldo entah mbca ovo gopay apapun lahh uang digital ada. Trs msh ngeyel blg adanya cash.","1646063672467554304","","tansinthia","in","Tangerang selatan","0","1","0","https://x.com/tansinthia/status/1646063672467554304","155565586","tansinthia"
"1645768680838696961","Tue Apr 11 18:06:15 +0000 2023","0","@lovujpg @discountfess wahhh btul si skrg gojek ku baukkk ga perna dpt promo lagi pen move ke grab btw kak klo grab payment nya ada pake uang digital gt gasi? kek gojek ada gopay dll nah klo grab bs pake apa ya kak? atau cash only?","1645850765045698561","","","in","Pelican Town","0","1","0","https://x.com/entschwinden/status/1645850765045698561","1564290175123214336","entschwinden"
"1645668250947317760","Tue Apr 11 06:02:19 +0000 2023","0","@collegemenfess Kalo kuesioner online bisa gopay shopeepay dana uang digital gitu nder","1645668579600371712","","collegemenfess","in","","0","0","0","https://x.com/bibliophire/status/1645668579600371712","1384096635823661057","bibliophire"
"1645463809782583297","Mon Apr 10 16:28:39 +0000 2023","0","Pengecekan isi QRIS. Pertama-tama gimana cara tau isi konten QRIS? Isi QRIS bisa dicek melalui QR reader di web maupun lewat app m-banking/uang elektronik digital seperti GoPay OVO dll. Saya coba pakai QR reader online: https://t.co/roK7unz4SU Reading QRIS u/penipuan https://t.co/z1d8MB0aAV","1645463813989494785","https://pbs.twimg.com/media/FtXWWRBaIAk636T.png","Yuliayen","in","","0","2","0","https://x.com/Yuliayen/status/1645463813989494785","59045056","Yuliayen"
