full_text,clean_text,label
@askmenfess Apknya lemot atmnya masih jarang ga kena charge kalo saldo +- 1 jutaan kalo dibawah itu ttp kena charge 6500 ngisi ovo gopay dan uang digital lainnya kena charge 3 rb. Apa ya itu sih yang ku rasain.,apknya lemot atmnya masih jarang ga kena charge kalo saldo jutaan kalo dibawah itu ttp kena charge ngisi ovo gopay dan uang digital lainnya kena charge rb apa ya itu sih yang ku rasain,netral
Saya selalu pakai uang digital jajan mall punya cashback banyak promo.,Saya selalu pakai uang digital jajan mall punya cashback banyak promo.,positif
Katanya mergernya dana dan ovo untuk mengurangi aksi bakar uang sekaligus menyaingi gopay yg berada diatas untuk dompet digital di Indonesia. Apakah mereka mampu untuk menyaingi kalau mereka mengurangi aksi bakar uang. Padahal konsumen suka dengan mereka karena bakar uang,katanya mergernya dana dan ovo untuk mengurangi aksi bakar uang sekaligus menyaingi gopay yg berada diatas untuk dompet digital di indonesia apakah mereka mampu untuk menyaingi kalau mereka mengurangi aksi bakar uang padahal konsumen suka dengan mereka karena bakar uang,netral
Penggunaan uang elektronik dan dompet digital seperti Gopay OVO DANA LinkAja diperkirakan akan semakin mengalami multifungsi dua hingga empat tahun ke depan. https://t.co/8MhylGBbY8,penggunaan uang elektronik dan dompet digital seperti gopay ovo dana linkaja diperkirakan akan semakin mengalami multifungsi dua hingga empat tahun ke depan,netral
GoPay dinilai mampu menjadi pemimpin pasar dimpet digital (e-wallet) di Indonesia meski tidak 'bakar uang'. #GoPay https://t.co/x3nh6qwcN1,gopay dinilai mampu menjadi pemimpin pasar dimpet digital e wallet di indonesia meski tidak bakar uang gopay,netral
Aduh guys gue panik bgt sumpah. Kemarin kan abis jual laptop ya terus duitnya tuh mau dipindahin dari ATM ke digital. Tapi ke DANA ga bisa terus OVO juga trouble akhirnya kirim ke Gopay. Terus w ga tau itu melebihi limit. Uang dari ATMnya berkurang Gopay gua ga keisi ,aduh guys gue panik bgt sumpah kemarin kan abis jual laptop ya terus duitnya tuh mau dipindahin dari atm ke digital tapi ke dana ga bisa terus ovo juga trouble akhirnya kirim ke gopay terus w ga tau itu melebihi limit uang dari atmnya berkurang gopay gua ga keisi,negatif
@milliyya @psi_id @PSI_Jakarta Kan SEKARANGJSC lagi kolaborasi sama beberapa platform digital Pertanyaannya Untuk kedepan Bisa ga untuk TJ Jaklingko mrt lrt cl yg pembayarannya hanya pakai uang elektronik nantinya bisa terintegerasi dengan pembayaran dengan menggunakan dompet elektronik seperti gopay ovo dll,kan sekarangjsc lagi kolaborasi sama beberapa platform digital pertanyaannya untuk kedepan bisa ga untuk tj jaklingko mrt lrt cl yg pembayarannya hanya pakai uang elektronik nantinya bisa terintegerasi dengan pembayaran dengan menggunakan dompet elektronik seperti gopay ovo dll,netral
Gojek akuisisi link aja. Sementara kalo liat data top 3 uang digital itu gopay ovo link aja. Ini aja udah duopoli Kalo ditambah merger dengan tokopedia gojekxtokped secara tdk resmi menguasai top 3 uang digital. Bau2 monopoli It must be stopped sih kalo ikut aturan main,gojek akuisisi link aja sementara kalo liat data top uang digital itu gopay ovo link aja ini aja udah duopoli kalo ditambah merger dengan tokopedia gojekxtokped secara tdk resmi menguasai top uang digital bau monopoli it must be stopped sih kalo ikut aturan main,negatif
@chikenmekd @FOODFESS2 Ya itu gopay ovo. Kl pake ovo instal lg apps nya aktifin dl isi dl Saldonya br bisa buat transaksi. Uang virtual tuh uang digital tak biasa yang dikeluarkan dan dikendalikan oleh para pengembangnya dan dipakai dan diterima oleh para anggota komunitas virtual spesifik,ya itu gopay ovo kl pake ovo instal lg apps nya aktifin dl isi dl saldonya br bisa buat transaksi uang virtual tuh uang digital tak biasa yang dikeluarkan dan dikendalikan oleh para pengembangnya dan dipakai dan diterima oleh para anggota komunitas virtual spesifik,netral
#giveaway Reposted from @sinarmassakti KITZ VALVE Authorized Distributor Dapatkan hadiah uang digital ovo_id atau @GOPAY_ID senilai @ Rp.100.000 - untuk 2 orang pemenang #graduation giveaway Cara mengikuti https://t.co/BhUx669op9,giveaway reposted from kitz valve authorized distributor dapatkan hadiah uang digital ovo_id atau senilai rp untuk orang pemenang graduation giveaway cara mengikuti,netral
